S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Trades and technical,Bachelor's degree,60000,Equally important,More important than salary,Less important than salary,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.9243,Diploma,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,226.903727366093
Healthcare,More than a bachelor's degree,85000,More important than salary,Equally important,Equally important,Equally important,Less important than salary,Equally important,More than a bachelor's degree,0.6515,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,238.118056995129
Other,More than a bachelor's degree,200000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,More important than salary,Bachelor's degree,-0.0145,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,141.850471075048
Business and Management,Bachelor's degree,40000,More important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,0.71,Diploma,Town,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,31.3329177237728
Don't Know,More than a bachelor's degree,250000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.6686,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,491.246783935298
Trades and technical,Associate's degree,40000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.8137,No HS credential,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,110.123309426258
Healthcare,Bachelor's degree,100000,Equally important,Equally important,More important than salary,More important than salary,More important than salary,Less important than salary,Associate's degree,-0.2761,Diploma,Suburb,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,195.636632417834
Don't Know,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.8138,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,707.185272529609
Arts and entertainment,Bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.9457,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,65.5732437054289
Service,Don't know,20000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.2606,Diploma,Town,South,Attained certificate,Enrolled in postsecondary education and employed full-time,40.6278081296628
Arts and entertainment,Some college,30000,Equally important,Less important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.4398,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,62.6791116012751
Military and protective services,Bachelor's degree,40000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,"High school diploma, equivalent, or less",-0.4264,Diploma,Suburb,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,504.473325270442
Arts and entertainment,Bachelor's degree,50000,More important than salary,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Bachelor's degree,0.2695,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,91.1972179864322
Business and Management,More than a bachelor's degree,70000,More important than salary,Equally important,Less important than salary,More important than salary,More important than salary,Equally important,More than a bachelor's degree,1.5277,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,167.298692489164
STEM,Bachelor's degree,50000,Equally important,Equally important,More important than salary,Equally important,More important than salary,Less important than salary,Associate's degree,-0.4014,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,253.17858975107
STEM,Bachelor's degree,100000,Less important than salary,Equally important,Equally important,Equally important,Equally important,Less important than salary,More than a bachelor's degree,1.7655,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,209.911309418184
Don't Know,Some college,40000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",-0.2788,No HS credential,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,324.859095535129
